timestamp_utc,ticker,title,price,source,link,score
2026-09-14T12:01:24.224300+00:00,NOMA,Nomadar Enters into Definitive Agreement to Acquire Majority Interest in Fox Soccer Academy,1.45,prnewswire,https://www.prnewswire.com/news-releases/nomadar-enters-into-definitive-agreement-to-acquire-majority-interest-in-fox-soccer-academy-302877323.html,3
2026-09-14T12:16:14.024816+00:00,MYSZ,MySize Announces Acquisition-Led Strategy Focused on Defense Technology,1.73,prnewswire,https://www.prnewswire.com/news-releases/mysize-announces-acquisition-led-strategy-focused-on-defense-technology-302877533.html,4
2026-09-14T20:11:51.674198+00:00,BMNM,Richard Parry Joins Board of Directors of Bimini Capital Management,3.32,globenewswire,https://www.globenewswire.com/news-release/2026/09/14/3361545/24159/en/richard-parry-joins-board-of-directors-of-bimini-capital-management.html,4
2026-09-15T10:10:01.871192+00:00,ZEFIF,Zefiro Awarded Three Federally Funded Well Plugging Projects in Ohio and Pennsylvania,0.4685,newsfile,https://www.newsfilecorp.com/release/314328/Zefiro-Awarded-Three-Federally-Funded-Well-Plugging-Projects-in-Ohio-and-Pennsylvania,3
2026-09-15T11:31:33.996521+00:00,ZENA,ZenaTech Closes 29th Drone as a Service Acquisition Adding Solar and Railroad Customers with Georgia-based U.S. Land Surveying Company Holding Licenses in 17 States,1.48,globenewswire,https://www.globenewswire.com/news-release/2026/09/15/3361949/0/en/zenatech-closes-29th-drone-as-a-service-acquisition-adding-solar-and-railroad-customers-with-georgia-based-u-s-land-surveying-company-holding-licenses-in-17-states.html,4
2026-09-15T20:16:42.457573+00:00,RC,Ready Capital Corporation Declares Third Quarter 2026 Dividends,1.6,globenewswire,https://www.globenewswire.com/news-release/2026/09/15/3362655/0/en/ready-capital-corporation-declares-third-quarter-2026-dividends.html,3
2026-09-16T12:02:15.471304+00:00,DLXY,Delixy Holdings Limited Signs Non-Binding Letter of Intent for Strategic Transaction Involving Up to 48% Interest in East Kazakhstan Sarybulak Oil Field,0.415,globenewswire,https://www.globenewswire.com/news-release/2026/09/16/3363101/0/en/delixy-holdings-limited-signs-non-binding-letter-of-intent-for-strategic-transaction-involving-up-to-48-interest-in-east-kazakhstan-sarybulak-oil-field.html,8
2026-09-18T11:30:27.672564+00:00,MERC,Mercado Minerals Signs LOI to Acquire La Franca within the Zamora Project and Samples 1.00 Metre of 1.53 kg/t Silver and 1.39 g/t Gold,0.3844,newsfile,https://www.newsfilecorp.com/release/314960/Mercado-Minerals-Signs-LOI-to-Acquire-La-Franca-within-the-Zamora-Project-and-Samples-1.00-Metre-of-1.53-kgt-Silver-and-1.39-gt-Gold,3
2026-09-21T10:08:49.543118+00:00,KDK,"Kodiak Copper Announces Filing of TSXV Listing Application, Execution of Definitive Agreements, Closing of Subscription Receipt Financing and Leadership Appointments for Kay Copper",3.28,newsfile,https://www.newsfilecorp.com/release/315041/Kodiak-Copper-Announces-Filing-of-TSXV-Listing-Application-Execution-of-Definitive-Agreements-Closing-of-Subscription-Receipt-Financing-and-Leadership-Appointments-for-Kay-Copper,3
2026-09-22T10:09:50.581152+00:00,LODE,Comstock Metals Commences 24/7 Operations for Solar Panel Recycling,2.62,globenewswire,https://www.globenewswire.com/news-release/2026/09/22/3366091/0/en/comstock-metals-commences-24-7-operations-for-solar-panel-recycling.html,3
